Program Name,Volunteer Count,Volunteer Hours,Departmental Savings,Date
Active & Aging - Dunbar Community Center,4,0,0,09/30/2020
Active & Aging - East LR Community Center,10,0,0,09/30/2020
Active & Aging - SW Community Center,29,0,0,09/30/2020
Adopt-A-Flowerbed - Allsopp,1,8,163.92,09/30/2020
Adopt-A-Flowerbed - Butler,1,0,0,09/30/2020
Adopt-A-Flowerbed - Contemplation Garden,1,12.5,256.125,09/30/2020
Adopt-A-Flowerbed - Curran Hall,1,26.5,542.985,09/30/2020
Adopt-A-Flowerbed - Historic AR Museum,1,59.25,"1,214.0325",09/30/2020
Adopt-A-Flowerbed - Jim Dailey Fitness and Aquatic Center,3,2.25,46.1025,09/30/2020
Adopt-A-Flowerbed - WM Gateway,1,0,0,09/30/2020
Adopt-A-Flowerbed- Rose Creek Plaza,1,0,0,09/30/2020
Adopt-A-Park - Allsopp,1,1,20.49,09/30/2020
Adopt-A-Park - Allsopp (Fairview Rd.),1,5,102.45,09/30/2020
Adopt-A-Park - Allsopp (Walnut St.),1,3.25,66.5925,09/30/2020
Adopt-A-Park - Allsopp Moss Garden,1,120,"2,458.8",09/30/2020
Adopt-A-Park - Allsopp North,1,0,0,09/30/2020
Adopt-A-Park - Allsopp Promenade,1,2,40.98,09/30/2020
Adopt-A-Park - Benny Craig,1,0,0,09/30/2020
Adopt-A-Park - Butler,1,7,143.43,09/30/2020
Adopt-A-Park - Kanis,1,0,0,09/30/2020
Adopt-A-Park - Knoop,3,26,532.74,09/30/2020
Adopt-A-Park - Moorehart,1,0,0,09/30/2020
Adopt-A-Park - Reservoir,1,0,0,09/30/2020
Adopt-A-Park - Two Rivers,1,4,81.96,09/30/2020
Adopt-A-Park - Wakefield Park,1,0,0,09/30/2020
Adopt-A-Park - Western Hills,9,648,"13,277.52",09/30/2020
Adopt-A-Park- Boyle,1,22,450.78,09/30/2020
Adopt-A-Park-War Memorial,1,0,0,09/30/2020
Adopt-A-Trail - Allsopp Park,1,16,327.84,09/30/2020
Adopt-A-Trail - Allsopp Park North,1,0,0,09/30/2020
Adopt-A-Trail - Conner park,1,0,0,09/30/2020
Adopt-A-Trail - Reservoir,1,0,0,09/30/2020
Adopt-A-Trail - Rock Creek,1,0,0,09/30/2020
Department of Corrections - Wrightsville Unit,1,0,0,09/30/2020
Dunbar Community Center,9,0,0,09/30/2020
Dunbar Community Garden,1,0,0,09/30/2020
Eagle Scout,0,0,0,09/30/2020
First Tee Golf Course,14,131,"2,684.19",09/30/2020
Jim Dailey Fitness and Aquatic Center,1,0,0,09/30/2020
Landscape Division,2,0,0,09/30/2020
Little Rock Marathon,1,60,"1,229.4",09/30/2020
Little Rock Marathon - Creep and Crawl,1,20,409.8,09/30/2020
Little Rock Marathon - Ugly Sweater Race,1,0,0,09/30/2020
MacArthur Commissioners,35,22,450.78,09/30/2020
MacArthur Museum of Arkansas Military History,0,0,0,09/30/2020
MacPark Group,18,24,491.76,09/30/2020
Murray Dog Park,2,0,0,09/30/2020
National Public Lands Day at Morehart Park,20,76,"1,557.24",09/30/2020
Park Commissioners,11,10,204.9,09/30/2020
Park or Trail Clean-up,29,157,"3,216.93",09/30/2020
Rebsamen Golf Course,12,432,"8,851.68",09/30/2020
Southwest Community Center,17,0,0,09/30/2020
Stephens Community Center,15,0,0,09/30/2020
The Centre at University Park,1,0,0,09/30/2020
Therapeutic Recreation,1,0,0,09/30/2020
Volunteer Park Ranger,17,181.25,"3,713.8125",09/30/2020
West Central Community Center,0,0,0,09/30/2020
Active & Aging - Dunbar Community Center,4,0,0,10/31/2020
